state,year,highway,gsp,totpub,pvtcap,area,roway,tcapo,tmant,capui,capul,caput,mntui,mntul,mntut,capri,caprl,caprt,mntri,mntrl,mntrt,capti,captl,captt,mntti,mnttl,mnttt,milri,milrl,milrt,milui,miluf,milul,milut,miltt,umilgt4,umille4,rmilgt4,rmille4,rpassveh,rtusing,rtrucom,upassveh,utrusing,utrucomb,alaska,newyork,californ,sotheas,midwest,mortheas,vmtri,vmtrl,vmtrt,vmtui,vmtuf,vmtul,vmtut,cstatmh,cstadmrd,cfedroad,ctal,mstadmh,mladmrd,mredroad,mtal,adm_misc,law_safe,interest,bondret,tdisb,pgsal93,pgsal94,pbcon93,pexcav93,prestl93,pststl93,pstcon93,pop90,sqmiles,popdens,bondrate,locshr97,statenam,irate,totcap,milrlsq,milrisq,highinf,capnew,totexp,lnvmtri,lnvmtrl,lnvmtui,lnvmtul,lnmilri,lnmilrl,lnmilui,lnmilul,vmttot,miletot,vcri,vcrl,vcui,vcul,lnvcri,lnvcrl,lnvcui,lnvcul,lnrtruc,lnutruc,rtruc,ortruc,rtruc2,utruc,outruc,utruc2,rtrusing,rtrus,ortrus,rtrus2,utrus,outrus,utrus2,rcar,orcar,rcar2,ucar,oucar,ucar2,lnrmgt4,lnrmle4,lnumgt4,lnumle4,lnmigt4,lnmile4,miles,traffic,purbmil,umiles,rmiles,mill,lnmill,mili4,mili5,lnmili4,lnmili5,pfwy,lnpfwy,uwidth,rwidth,width,lnuwidth,lnrwidth,purbtraf,urbtraf,rurtraf,ptruck,truck,urbtruck,rurtruck,miles2,traffic2,rvc,uvc,auto,comb,sing,lnumiles,lnrmiles,lnauto,lncomb,lnsing,lnpurbm,lnmiles,x,mgsal93,mgsal94,mbcon93,mexcav93,mrestl93,mststl93,mstcon93,mpopdens,pexcav,psurf,pstruc,pdens,plabor,pconst,lnpexcav,lnpsurf,lnplabor,lnpstruc,lnpdens,lnpconst,pkap,lnpkap,lnirate,lnwidth,pgt4,lnpgt4,mpsqm,lnmpsqm,varexp,lnvarexp,lntotexp,h,lnh,vmt,lnvmt,iaa,iac,ias,ial,iau,iai,iam,icc,ics,icl,icu,ici,icm,iss,isl,isu,isi,ism,ill,ilu,ili,ilm,iuu,iui,ium,iii,iim,imm
AL,1988.0,8905.74,53547.0,20204.46,66008.17,52423.0,41714000.0,470000000.0,342000000.0,125348.0,77005.0,202353.0,7008.0,87510.0,94518.0,29484.0,238395.0,267879.0,7412.0,55938.0,63350.0,154832.0,315400.0,470232.0,14420.0,143448.0,157868.0,602.0,72226.0,72828.0,297.0,21.0,19063.0,19381.0,92209.0,43.0,254.0,0.0,602.0,56.0,16.9,27.1,72.7,14.3,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4442.0,18361.0,22803.0,4208.0,326.0,18425.0,22959.0,372518.0,42839.0,974.0,416331.0,134450.0,299897.0,14.0,434361.0,72558.0,57359.0,11128.0,20436.0,1012173.0,25028.0,26376.0,25.49,1.6,0.419,0.862,217.9,4089.0,52423.0,78.000114,AA,0.8740119,Alabama,0.0515,470232.0,5.216595e+09,362404.0,10686.889,550374.75,838159.75,8.39886,9.817985,8.41936,9.821464,6.4002576,11.187555,5.7620516,9.855505,45762.0,92209.0,7.3787374,0.25421593,14.257862,0.96653205,1.9986025,-1.3695712,2.6573083,-0.034040846,8.729011,8.001245,6179.6133,0.00016182243,3.8187616e+07,2984.67,0.00033504542,8.908255e+06,16.9,3853.707,0.00025949042,1.4851057e+07,3283.137,3283.137,1.0778989e+07,12769.68,12769.68,1.6306472e+08,16691.191,16691.191,2.785959e+08,,6.4002576,3.7612002,5.5373344,3.7612002,6.75227,92209.0,45762.0,0.21018556,19381.0,72828.0,91289.0,11.421785,856.0,43.0,6.75227,3.7612002,0.009977334,-4.6074395,3.4343433,3.0,2.227687,1.2338257,1.0986123,0.50170445,22958.998,22803.0,0.35621536,16301.127,6267.8066,10033.32,8.5025e+09,2.0941606e+09,0.5405071,1.2898082,29460.871,9164.283,7136.8438,9.872048,11.195856,10.290818,9.123069,8.873026,-1.5597645,11.431813,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.5326409,0.9831791,2.6225395,0.54683197,0.94656026,4.1383595,-0.62990785,-0.016963987,-0.05492064,0.96414316,-0.60361373,1.4202994,5.968775,1.7865417,-2.9661734,0.80096376,0.047830924,-3.040083,1.7589417,0.5647123,287785.0,12.569969,13.638964,0.47888476,-0.7362953,45762.0,10.73121,105.90094,93.88384,91.3107,-0.56517833,-0.1745733,-30.524351,117.642715,83.230385,80.94923,-0.50104475,-0.15476362,-27.060604,104.29322,78.73059,-0.48731226,-0.15052189,-26.318933,101.43478,0.0030162768,0.000931673,0.16290414,-0.6278425,0.00028777684,0.050318126,-0.19392912,8.798184,-33.90874,130.68636
AK,1988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35459.0,71217.0,106676.0,1369.0,19907.0,21276.0,50659.0,84665.0,135324.0,3744.0,8380.0,12124.0,86118.0,155882.0,242000.0,5113.0,28287.0,33400.0,1003.0,11104.0,12107.0,54.0,0.0,1688.0,1742.0,13849.0,10.0,44.0,0.0,1003.0,57.9,39.7,2.4,85.1,14.2,0.7,1.0,0.0,0.0,0.0,0.0,0.0,677.0,1328.0,2005.0,450.0,0.0,1386.0,1836.0,213000.0,60888.0,4942.0,278830.0,121900.0,34166.0,831.0,156897.0,30088.0,40116.0,13411.0,21623.0,540965.0,37943.0,38889.0,31.89,1.89,0.464,1.161,855.03,570.0,591004.0,0.9644605,AA,0.41905433,Alaska,0.0515,242000.0,1.2329882e+08,1.006009e+06,0.0,0.0,103604.0,6.517671,7.191429,6.1092477,7.234177,6.910751,9.315061,3.988984,7.4312997,3841.0,13849.0,0.6749751,0.11959654,8.333333,0.82109004,-0.39307952,-2.1236312,2.1202636,-0.1971225,3.873698,2.5534995,48.120003,0.02078138,2315.5347,12.852,0.0778089,165.1739,39.7,795.985,0.001256305,633592.1,260.712,260.712,67970.74,1160.895,1160.895,1.3476772e+06,1562.4359,1562.4359,2.4412062e+06,,6.910751,2.3025851,3.7841897,2.3025851,6.9536843,13849.0,3841.0,0.12578526,1742.0,12107.0,12792.0,9.456575,1047.0,10.0,6.9536843,2.3025851,0.076323204,-2.5727782,3.5555556,3.0,2.2766986,1.2685113,1.0986123,0.47800052,1835.9999,2005.0,0.29098386,1117.669,273.564,844.105,1.917948e+08,1.4753281e+07,0.028524587,0.5954234,2723.331,60.972004,1056.697,7.462789,9.401539,7.909611,4.110415,6.9629035,-2.073179,9.535969,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.62918204,1.2300346,5.443081,0.006761501,1.4350063,7.3022976,-0.46333465,0.20704229,0.36116922,1.6943452,-4.9965105,1.988189,0.0,,-2.9661734,0.8227264,0.009460738,-4.660605,,,103604.0,11.548331,11.548331,0.5786413,-0.5470725,3841.0,8.253488,62.56195,32.511784,55.07386,2.856708,1.637624,-23.461279,75.425804,16.895512,28.620422,1.4845554,0.85102975,-12.1922035,39.19679,48.482025,2.5147865,1.4416155,-20.65318,66.39803,0.1304432,0.074777305,-1.0712905,3.4440985,0.04286651,-0.61412334,1.9743488,8.798184,-28.285337,90.9347
AZ,1988.0,7955.02,50630.0,23693.97,48932.84,114006.0,216000000.0,1070000000.0,199000000.0,48078.0,229257.0,277335.0,0.0,0.0,0.0,66574.0,136890.0,203464.0,0.0,0.0,0.0,114652.0,366147.0,480799.0,0.0,0.0,68839.0,987.0,38436.0,39423.0,202.0,70.0,16068.0,16340.0,55763.0,54.0,148.0,0.0,987.0,57.7,26.0,16.3,58.7,33.2,8.1,0.0,0.0,0.0,0.0,0.0,0.0,5110.0,8678.0,13788.0,3003.0,1344.0,16912.0,21259.0,488274.0,205236.0,19046.0,712556.0,68907.0,84516.0,10641.0,164064.0,70527.0,78446.0,154305.0,359239.0,1539137.0,24995.0,25906.0,22.42,5.21,0.354,1.62,206.73,3750.0,114006.0,32.893005,XX,0.6363506,Arizona,0.07,480799.0,1.4773261e+09,974169.0,9546.024,668221.7,817194.7,8.538955,9.068546,8.377241,9.735779,6.89467,10.556749,5.605802,9.684585,35047.0,55763.0,5.1773047,0.22577791,15.981618,1.0525267,1.6442846,-1.4882034,2.771439,0.051193714,7.717549,7.4512296,2247.4438,0.00044494992,5.051004e+06,1721.9791,0.0005807271,2.965212e+06,26.0,3584.88,0.00027894936,1.2851365e+07,7057.9883,7057.9883,4.9815196e+07,7955.6763,7955.6763,6.3292784e+07,12479.033,12479.033,1.5572627e+08,,6.89467,3.988984,4.9972124,3.988984,7.034388,55763.0,35047.0,0.29302585,16340.0,39423.0,54504.0,10.90603,1135.0,54.0,7.034388,3.988984,0.022577696,-3.7907927,3.8019803,3.0,2.3341174,1.335522,1.0986123,0.60658544,21259.0,13788.0,0.41693413,14612.291,8779.968,5832.3237,3.1095122e+09,1.2282922e+09,0.19933797,2.0496845,20434.709,3969.4229,10642.868,9.701371,10.582105,9.92499,8.286376,9.272645,-1.2274945,10.928865,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.734412,0.86476564,3.3129754,0.23060155,0.9453122,5.9121532,0.5506684,-0.14529674,-0.056240033,1.1978467,-1.4670639,1.7770101,11.983245,2.4835093,-2.65926,0.84763384,0.045416318,-3.091884,0.48912337,-0.7151405,148973.0,11.91152,13.613632,0.44501162,-0.8096549,35047.0,10.464445,98.50542,82.242195,92.03091,-0.55818176,-1.4420686,-26.39313,108.46888,68.664024,76.836624,-0.46602607,-1.2039834,-22.03563,90.56069,85.98195,-0.52149385,-1.347285,-24.658375,101.33949,0.0031629414,0.008171493,0.14955688,-0.61463976,0.021111142,0.3863818,-1.5879285,7.071664,-29.062695,119.4401
AR,1988.0,4829.36,29802.0,10411.96,34924.26,53182.0,11366000.0,307000000.0,197000000.0,6623.0,132474.0,139097.0,1387.0,24221.0,25608.0,26357.0,196878.0,223235.0,7154.0,60650.0,67804.0,32980.0,329352.0,362332.0,8541.0,84871.0,93412.0,412.0,69185.0,69597.0,131.0,94.0,7370.0,7595.0,77192.0,45.0,86.0,3.0,409.0,56.5,13.4,30.1,68.8,14.8,16.4,0.0,0.0,0.0,1.0,0.0,0.0,3140.0,11908.0,15048.0,1758.0,717.0,5558.0,8033.0,325826.0,72239.0,868.0,398933.0,113232.0,130379.0,310.0,243921.0,42524.0,45163.0,661.0,449.0,731651.0,22793.0,23336.0,26.28,1.31,0.544,0.674,259.97,2372.0,53182.0,44.60156,AA,0.80452496,Arkansas,0.0515,362332.0,4.786564e+09,169744.0,5795.232,298454.44,479553.44,8.051978,9.384966,7.813996,8.622993,6.0210233,11.144539,5.4161005,8.905173,23081.0,77192.0,7.6213593,0.17211823,11.0,0.7541384,2.0309548,-1.7595736,2.3978953,-0.2821794,8.418355,7.1834245,4529.448,0.00022077745,2.05159e+07,1317.412,0.000759064,1.7355742e+06,13.4,2016.4319,0.0004959255,4.0659978e+06,1188.884,1188.884,1.4134452e+06,8502.12,8502.12,7.228605e+07,5526.704,5526.704,3.054446e+07,1.0986123,6.0137153,3.8066626,4.454347,3.871201,6.204558,77192.0,23081.0,0.098391026,7595.0,69597.0,76555.0,11.245765,495.0,48.0,6.204558,3.871201,0.00825215,-4.7972813,4.0305343,3.0218446,2.1115463,1.393899,1.1058675,0.3480352,8033.0,15048.0,0.39219168,9052.176,2506.296,6545.88,5.958605e+09,5.3273258e+08,0.5174121,1.2459363,14028.824,5846.8604,3205.316,8.9352455,11.150476,9.548869,8.67366,8.072566,-2.3188057,11.254051,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.4360997,1.0136504,2.8134487,0.3126862,0.8620325,4.263199,-0.82988435,0.01355809,-0.14846234,1.0344111,-1.1625551,1.4500198,3.8663907,1.3523214,-2.9661734,0.7474205,0.08839779,-2.4259083,1.4514686,0.37257585,181099.0,12.106799,13.08061,0.45288715,-0.7921123,23081.0,10.046765,91.1809,82.82365,77.08388,-1.4176475,0.12946442,-28.3236,107.46346,75.23238,70.01869,-1.2877119,0.117598265,-25.727581,97.613815,65.16632,-1.198472,0.109448574,-23.944632,90.849075,0.022041066,-0.0020128656,0.44036505,-1.6708028,0.0001838218,-0.040215645,0.15258344,8.798184,-33.381466,126.65367
CA,1988.0,42835.42,528674.0,145321.6,400653.1,163707.0,244000000.0,2220000000.0,1560000000.0,513828.0,881208.0,1395036.0,51921.0,80647.0,132568.0,61578.0,678709.0,740287.0,44901.0,164991.0,209892.0,575406.0,1559917.0,2135323.0,96822.0,245638.0,342460.0,1356.0,86784.0,88140.0,1067.0,1393.0,78601.0,81061.0,169201.0,940.0,127.0,286.0,1070.0,69.3,17.2,13.5,86.2,11.0,2.8,0.0,0.0,1.0,0.0,0.0,0.0,14322.0,37875.0,52197.0,52566.0,42332.0,115453.0,210351.0,2089004.0,1700434.0,15983.0,3805421.0,511977.0,1474922.0,1685.0,1988584.0,1046908.0,1182559.0,58263.0,35336.0,8117071.0,33080.0,33795.0,28.79,3.15,0.414,1.07,256.86,30380.0,163707.0,185.57545,A1,0.7894209,California,0.0535,2.135323e+06,7.5314627e+09,1.838736e+06,51402.508,2.7500342e+06,5.321961e+06,9.569552,10.542047,11.460558,11.656619,7.2122946,11.371178,7.8079166,11.27214,262548.0,169201.0,10.561947,0.43642837,38.576424,1.468849,2.3572576,-0.829131,3.6526413,0.3844791,8.8603,8.680982,7046.595,0.00014191252,4.96545e+07,5889.828,0.00016978425,3.469007e+07,17.2,8977.885,0.00011138482,8.060241e+07,23138.61,23138.61,5.3539526e+08,36172.523,36172.523,1.3084513e+09,181322.56,181322.56,3.287787e+10,5.655992,6.975414,6.84588,4.8441873,7.111512,7.0875735,169201.0,262548.0,0.4790811,81061.0,88140.0,165385.0,12.016031,1197.0,1226.0,7.0875735,7.111512,0.022553058,-3.7918847,5.6429243,3.6327434,2.5191946,1.7304025,1.2899882,0.8011906,210351.0,52197.004,0.17159878,45052.918,29028.438,16024.48,2.8628978e+10,6.893145e+10,0.45360553,4.2941113,217495.1,12936.424,32116.494,11.302958,11.386682,12.289931,9.467802,10.377125,-0.7358854,12.038842,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.0486368,1.110464,2.9951026,1.3010057,1.2510873,5.1542034,0.04749103,0.104777925,0.22401302,1.0969785,0.2631376,1.6398126,16.253061,2.7882812,-2.9280736,0.9239392,0.5059843,-0.6812496,1.0335599,0.033009075,2.5719268e+06,14.760166,15.487352,0.70364004,-0.35148835,262548.0,12.478189,151.0424,116.358635,127.53415,2.7531047,1.2877135,-35.985825,147.95654,89.639275,98.248566,2.120911,0.9920167,-27.722422,113.98138,107.684715,2.324611,1.0872936,-30.384985,124.928566,0.050181832,0.023471618,-0.6559266,2.6968575,0.010978414,-0.30679747,1.2614049,8.573615,-35.250618,144.93372
CO,1988.0,6574.39,52117.0,20639.31,51304.57,104100.0,34119000.0,536000000.0,312000000.0,92615.0,88050.0,180665.0,7308.0,36948.0,44256.0,80658.0,79953.0,160611.0,18067.0,62885.0,80952.0,173273.0,168003.0,341276.0,25375.0,99833.0,125208.0,768.0,65050.0,65818.0,186.0,216.0,12501.0,12903.0,78721.0,62.0,124.0,21.0,747.0,79.3,5.3,15.4,92.7,3.9,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3661.0,8913.0,12574.0,3793.0,2406.0,12035.0,18234.0,386491.0,179430.0,3453.0,569374.0,128060.0,236345.0,921.0,365326.0,52531.0,96886.0,43258.0,63757.0,1191132.0,27380.0,28148.0,28.35,2.48,0.362,0.79,201.17,3377.0,104091.0,32.44277,X,0.7930033,Colorado,0.0555,341276.0,4.2315026e+09,589824.0,7889.268,437854.38,712479.4,8.205492,9.095266,8.732143,9.395575,6.64379,11.0829115,5.996452,9.433564,30808.0,78721.0,4.7669272,0.13701768,15.420398,0.96272296,1.5617019,-1.9876453,2.735691,-0.03798957,7.568584,6.4296484,1936.396,0.0005164233,3.7496292e+06,619.956,0.0016130176,384345.47,5.3,666.422,0.0015005507,444118.3,711.12604,711.12604,505700.22,9971.183,9971.183,9.942448e+07,16902.918,16902.918,2.857086e+08,3.0445225,6.616065,4.1271343,4.8202815,4.4188404,6.769642,78721.0,30808.0,0.16390797,12903.0,65818.0,77551.0,11.258691,871.0,83.0,6.769642,4.4188404,0.014862616,-4.208906,4.0,3.0820312,2.1867142,1.3862944,1.1255889,0.5918592,18234.0,12574.001,0.12769085,3933.9,1331.082,2602.8179,6.196996e+09,9.4913286e+08,0.22740625,1.5673997,26874.102,2556.352,1377.5481,9.465215,11.094648,10.198918,7.8463364,7.2280602,-1.8084501,11.273665,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.8255934,1.0934926,2.3656461,0.2274451,1.035513,4.2847323,-0.19165286,0.08937682,0.034897,0.8610512,-1.4808464,1.4550581,5.5621037,1.7159764,-2.8913722,0.7824,0.0870021,-2.441823,0.75620556,-0.27944204,274625.0,12.523162,13.476506,0.76980776,-0.26161447,30808.002,10.335529,104.01794,80.02415,73.7184,0.35591164,0.9115469,-29.488869,114.979195,61.564995,56.71379,0.2738136,0.7012806,-22.686678,88.45697,52.244854,0.25223762,0.64602107,-20.899012,81.48673,0.0012178005,0.003118983,-0.10090022,0.3934171,0.007988216,-0.25842166,1.0076044,8.360033,-32.596363,127.095535
CN,1988.0,7236.71,70125.0,17871.09,46318.68,5544.0,20418000.0,537000000.0,259000000.0,183530.0,329367.0,512897.0,3246.0,26674.0,29920.0,30305.0,44920.0,75225.0,1366.0,18028.0,19394.0,213835.0,374287.0,588122.0,4612.0,44702.0,49314.0,101.0,8713.0,8814.0,242.0,197.0,11104.0,11543.0,20357.0,168.0,74.0,22.0,79.0,79.5,13.1,7.4,83.2,12.0,4.8,0.0,0.0,0.0,0.0,0.0,1.0,1357.0,4711.0,6068.0,6758.0,2623.0,11010.0,20391.0,691154.0,70521.0,0.0,761675.0,60753.0,156338.0,0.0,217091.0,75613.0,17130.0,168579.0,206380.0,1446468.0,35320.0,36143.0,32.4,5.33,0.631,0.887,336.99,3291.0,5544.0,593.61475,AA,0.8074486,Connecticut,0.0515,588122.0,7.591637e+07,10201.0,8684.052,447228.66,589285.6,7.213032,8.457656,9.146441,9.30656,4.6151204,9.072572,6.0844994,9.315061,26459.0,20357.0,13.435643,0.5406863,21.36902,0.9915346,2.5979111,-0.61491597,3.0619423,-0.008501453,6.1070943,6.886295,449.032,0.0022270128,201629.75,978.76807,0.0010216925,957986.9,13.1,794.908,0.0012580071,631878.75,2446.92,2446.92,5.9874175e+06,4824.06,4824.06,2.3271554e+07,16965.31,16965.31,2.878218e+08,3.0910425,4.3694477,5.123964,4.304065,5.247024,5.030438,20357.0,26458.998,0.5670285,11543.0,8814.0,19817.0,9.894296,153.0,190.0,5.030438,5.247024,0.026526501,-3.629611,5.0826445,3.6534653,2.6130953,1.6258317,1.2956761,0.77066404,20390.998,6068.0,0.17648543,4669.628,3425.688,1243.9401,4.1440746e+08,7.000786e+08,0.7039574,2.4658258,21789.371,1427.8,3241.828,9.353834,9.084097,9.989178,7.2638903,8.083893,-0.5673457,9.92118,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.77436,1.2497059,3.5159197,4.1616287,1.3358042,6.5399857,0.5734398,0.22290826,0.28953353,1.2573011,1.4259065,1.8779349,21.96928,3.0896451,-2.9661734,0.96053547,0.5539359,-0.59070635,3.6718976,1.3007087,142056.97,11.863983,13.286666,0.69610006,-0.36226186,26459.0,10.1833515,99.78367,72.56029,80.75144,2.892202,2.2266703,-29.629633,99.10443,52.764103,58.72051,2.1031399,1.6191812,-21.545958,72.06636,65.34932,2.340558,1.8019664,-23.978228,80.20175,0.08382966,0.06453942,-0.85880667,2.8725142,0.049688093,-0.66118455,2.2115128,8.798184,-29.42794,98.42981
DE,1988.0,2112.78,11427.0,4681.46,12209.28,2489.0,22363000.0,157000000.0,49904000.0,22297.0,87042.0,109339.0,3083.0,25363.0,28446.0,0.0,96196.0,96196.0,0.0,673.0,673.0,22297.0,183238.0,205535.0,3083.0,26036.0,29119.0,0.0,3675.0,3675.0,41.0,9.0,1819.0,1869.0,5544.0,30.0,11.0,0.0,0.0,100.0,0.0,0.0,63.5,25.2,11.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2685.0,2685.0,989.0,38.0,3180.0,4207.0,193959.0,3375.0,14559.0,211893.0,55562.0,8148.0,0.0,63710.0,50696.0,36496.0,46059.0,26331.0,435185.0,28593.0,29298.0,26.85,3.4,0.632,0.632,261.13,680.0,2489.0,273.2021,AA1,0.116742395,Delaware,0.0495,205535.0,1.3505625e+07,0.0,2535.336,125499.125,241810.12,,7.895436,6.934397,8.064636,,8.209309,3.912023,7.506042,6892.0,5544.0,,0.7306122,20.54,1.7482133,,-0.3138724,3.0223742,0.5585943,,6.164138,0.0,,0.0,475.39102,0.0021035315,225996.61,0.0,0.0,,0.0,1060.1641,1060.1641,1.1239478e+06,2685.0,2685.0,7.209225e+06,2671.445,2671.445,7.1366185e+06,,,3.4011974,2.3978953,3.4011974,2.3978953,5544.0,6892.0,0.33712122,1869.0,3675.0,5494.0,8.611412,11.0,30.0,2.3978953,3.4011974,0.009018759,-4.7084484,5.195122,,2.359711,1.6477201,,0.6104179,4207.0,2685.0,0.22280253,1535.555,1535.555,0.0,3.0735936e+07,4.7499664e+07,,5.4573994,5356.4453,475.39102,1060.1641,7.533159,8.209309,8.586056,6.164138,6.966179,-1.0873127,8.620472,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,1.1318619,1.035636,2.9435592,1.9153259,1.0813887,5.1110573,0.123863995,0.03501568,0.07824606,1.0796194,0.6498878,1.6314063,22.636927,3.1195824,-3.0057826,0.8585391,0.73170733,-0.31237465,2.2274005,0.80083525,116311.0,11.664022,12.395908,0.632456,-0.4581446,6892.0005,8.838117,73.72035,52.925632,59.812,0.671825,0.30064657,-25.807817,74.015854,37.996593,42.940487,0.48231947,0.21584147,-18.528059,53.13778,48.52765,0.545076,0.2439255,-20.93882,60.05175,0.006122445,0.0027398388,-0.23519063,0.6745179,0.0012260978,-0.105249524,0.3018517,9.034729,-25.911264,74.31254
DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21573.0,86621.0,108194.0,1848.0,26106.0,27954.0,0.0,0.0,0.0,0.0,0.0,0.0,21573.0,86621.0,108194.0,1848.0,26106.0,27954.0,0.0,0.0,0.0,14.0,19.0,1074.0,1107.0,1107.0,10.0,4.0,0.0,0.0,100.0,0.0,0.0,97.1,2.6,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,469.0,393.0,2700.0,3562.0,0.0,101042.0,5176.0,106218.0,0.0,28524.0,12.0,28536.0,19715.0,0.0,73135.0,46061.0,273665.0,43855.0,46872.0,54.49,10.13,0.488,0.898,616.0,598.0,67.0,8925.373,X,0.007719298,Dist. of Columbia,0.0555,108194.0,0.0,0.0,0.0,0.0,47669.0,,,6.7592554,7.901007,,,3.4965076,6.979145,3562.0,1107.0,,,26.121212,2.5139666,,,3.2627478,0.92186177,,2.3689346,0.0,,0.0,10.686001,0.09358038,114.190605,0.0,0.0,,0.0,92.612,92.612,8576.981,0.0,0.0,0.0,3458.702,3458.702,1.1962619e+07,,,2.3025851,1.3862944,2.3025851,1.3862944,1107.0,3562.0,1.0,1107.0,0.0,1074.0,6.979145,4.0,10.0,1.3862944,2.3025851,0.029810298,-3.5129013,5.142857,,3.0404413,1.6376088,,1.0,3562.0,0.0,0.029000001,103.298004,103.298004,0.0,1.225449e+06,1.2687844e+07,,12.706906,3458.702,10.686001,92.612,7.009409,,8.148648,2.3689346,4.5284185,0.0,7.009409,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,3.3722827,2.1017432,4.294263,62.572723,1.6585984,9.768289,1.2155899,0.7427671,0.5059729,1.4572799,4.1363297,2.2791412,0.0,,-2.8913722,1.1120026,0.71428573,-0.3364722,,,47669.0,10.772037,10.772037,0.94352597,-0.05813139,3562.0,8.178078,66.40047,19.303616,36.90049,4.1229954,6.052548,-23.560776,57.117207,5.611851,10.727528,1.1986167,1.7595667,-6.8494716,16.604832,20.506575,2.2912571,3.3635602,-13.093344,31.741537,0.2560086,0.37582004,-1.4629561,3.546571,0.551703,-2.1476161,5.2063584,8.360033,-20.26681,49.131813
FL,1988.0,19987.9,170213.0,59950.37,154057.4,65758.0,247000000.0,1880000000.0,801000000.0,225241.0,864268.0,1089509.0,3581.0,111397.0,114978.0,94234.0,501226.0,595460.0,8772.0,73647.0,82419.0,319475.0,1365494.0,1684969.0,12353.0,185044.0,197397.0,1019.0,62611.0,63630.0,424.0,284.0,48470.0,49178.0,112808.0,205.0,219.0,100.0,919.0,74.8,11.9,13.3,82.3,11.7,6.0,0.0,0.0,0.0,1.0,0.0,0.0,10183.0,24818.0,35001.0,12034.0,4319.0,68514.0,84867.0,1440203.0,681642.0,682.0,2122527.0,282812.0,366381.0,312.0,649505.0,428351.0,271756.0,232516.0,153681.0,3858336.0,27116.0,27315.0,19.02,2.51,0.377,0.66,320.1,13277.0,65758.0,201.907,AA,0.8829295,Florida,0.0515,1.684969e+06,3.9201372e+09,1.038361e+06,23985.48,1.2352522e+06,2.1327562e+06,9.228475,10.119325,9.702167,11.134793,6.926577,11.044696,6.562444,10.7887,119868.0,112808.0,9.993131,0.39638403,23.097458,1.4135342,2.301898,-0.92537177,3.1397226,0.34609306,8.445725,8.53543,4655.1333,0.00021481662,2.1670264e+07,5092.02,0.00019638572,2.5928668e+07,11.9,4165.1187,0.00024008918,1.7348216e+07,9929.438,9929.438,9.859375e+07,26180.75,26180.75,6.854316e+08,69845.55,69845.55,4.8784e+09,4.6051702,6.823286,5.32301,5.389072,5.7203116,7.037028,112808.0,119868.01,0.43594426,49178.0,63630.0,111081.0,11.618015,1138.0,305.0,7.037028,5.7203116,0.015309198,-4.1793013,4.450472,3.2944062,2.464532,1.4930102,1.1922259,0.7080038,84867.01,35001.0,0.1988997,23841.71,15021.459,8820.252,1.2725645e+10,1.4368339e+10,0.4463302,2.8902192,96026.3,9747.153,14094.557,10.803202,11.060841,11.472378,9.184731,9.553544,-0.8302409,11.633443,1.0,26441.0,27117.0,25.9261,3.0039,0.5074,0.8809,266.311,142.64,0.8355804,0.7336237,2.6942155,1.4155005,1.0255286,4.2634196,-0.1796287,-0.30975908,0.025208138,0.9911071,0.3474832,1.4500716,10.950041,2.3933432,-2.9661734,0.9020019,0.21136521,-1.5541677,1.7155023,0.5397059,897504.0,13.707373,14.572926,0.6621999,-0.41218778,119868.01,11.694146,131.61545,105.3707,109.60187,0.2891973,-3.5536733,-34.02906,133.46326,84.359276,87.74673,0.23152995,-2.8450537,-27.243504,106.85004,91.2702,0.24082705,-2.959297,-28.33747,111.14061,0.00063545024,-0.0078084497,-0.07477171,0.29325745,0.095950685,0.91879916,-3.6035645,8.798184,-34.50681,135.33699
