source_file,column,dtype,non_null,sample_values
Highway5.dta,state,object,54,AL; AK; AZ
Highway5.dta,year,float64,51,1988.0; 1988.0; 1988.0
Highway5.dta,highway,float32,51,8905.740234375; 0.0; 7955.02001953125
Highway5.dta,gsp,float64,51,53547.0; 0.0; 50630.0
Highway5.dta,totpub,float32,51,20204.4609375; 0.0; 23693.970703125
Highway5.dta,pvtcap,float32,51,66008.171875; 0.0; 48932.83984375
Highway5.dta,area,float64,51,52423.0; 0.0; 114006.0
Highway5.dta,roway,float64,51,41714000.0; 0.0; 216000000.0
Highway5.dta,tcapo,float64,51,470000000.0; 0.0; 1070000000.0
Highway5.dta,tmant,float64,51,342000000.0; 0.0; 199000000.0
Highway5.dta,capui,float64,51,125348.0; 35459.0; 48078.0
Highway5.dta,capul,float64,51,77005.0; 71217.0; 229257.0
Highway5.dta,caput,float64,51,202353.0; 106676.0; 277335.0
Highway5.dta,mntui,float64,51,7008.0; 1369.0; 0.0
Highway5.dta,mntul,float64,51,87510.0; 19907.0; 0.0
Highway5.dta,mntut,float64,51,94518.0; 21276.0; 0.0
Highway5.dta,capri,float64,51,29484.0; 50659.0; 66574.0
Highway5.dta,caprl,float64,51,238395.0; 84665.0; 136890.0
Highway5.dta,caprt,float64,51,267879.0; 135324.0; 203464.0
Highway5.dta,mntri,float64,51,7412.0; 3744.0; 0.0
Highway5.dta,mntrl,float64,51,55938.0; 8380.0; 0.0
Highway5.dta,mntrt,float64,51,63350.0; 12124.0; 0.0
Highway5.dta,capti,float64,51,154832.0; 86118.0; 114652.0
Highway5.dta,captl,float64,51,315400.0; 155882.0; 366147.0
Highway5.dta,captt,float64,51,470232.0; 242000.0; 480799.0
Highway5.dta,mntti,float64,51,14420.0; 5113.0; 0.0
Highway5.dta,mnttl,float64,51,143448.0; 28287.0; 0.0
Highway5.dta,mnttt,float64,51,157868.0; 33400.0; 68839.0
Highway5.dta,milri,float64,51,602.0; 1003.0; 987.0
Highway5.dta,milrl,float64,51,72226.0; 11104.0; 38436.0
Highway5.dta,milrt,float64,51,72828.0; 12107.0; 39423.0
Highway5.dta,milui,float64,51,297.0; 54.0; 202.0
Highway5.dta,miluf,float64,51,21.0; 0.0; 70.0
Highway5.dta,milul,float64,51,19063.0; 1688.0; 16068.0
Highway5.dta,milut,float64,51,19381.0; 1742.0; 16340.0
Highway5.dta,miltt,float64,51,92209.0; 13849.0; 55763.0
Highway5.dta,umilgt4,float64,51,43.0; 10.0; 54.0
Highway5.dta,umille4,float64,51,254.0; 44.0; 148.0
Highway5.dta,rmilgt4,float64,51,0.0; 0.0; 0.0
Highway5.dta,rmille4,float64,51,602.0; 1003.0; 987.0
Highway5.dta,rpassveh,float32,51,56.0; 57.900001525878906; 57.70000076293945
Highway5.dta,rtusing,float32,51,16.899999618530273; 39.70000076293945; 26.0
Highway5.dta,rtrucom,float32,51,27.100000381469727; 2.4000000953674316; 16.299999237060547
Highway5.dta,upassveh,float32,51,72.69999694824219; 85.0999984741211; 58.70000076293945
Highway5.dta,utrusing,float32,51,14.300000190734863; 14.199999809265137; 33.20000076293945
Highway5.dta,utrucomb,float32,51,13.0; 0.699999988079071; 8.100000381469727
Highway5.dta,alaska,float64,51,0.0; 1.0; 0.0
Highway5.dta,newyork,float64,51,0.0; 0.0; 0.0
Highway5.dta,californ,float64,51,0.0; 0.0; 0.0
Highway5.dta,sotheas,float64,51,1.0; 0.0; 0.0
Highway5.dta,midwest,float64,51,0.0; 0.0; 0.0
Highway5.dta,mortheas,float64,51,0.0; 0.0; 0.0
Highway5.dta,vmtri,float64,51,4442.0; 677.0; 5110.0
Highway5.dta,vmtrl,float64,51,18361.0; 1328.0; 8678.0
Highway5.dta,vmtrt,float64,51,22803.0; 2005.0; 13788.0
Highway5.dta,vmtui,float64,51,4208.0; 450.0; 3003.0
Highway5.dta,vmtuf,float64,51,326.0; 0.0; 1344.0
Highway5.dta,vmtul,float64,51,18425.0; 1386.0; 16912.0
Highway5.dta,vmtut,float64,51,22959.0; 1836.0; 21259.0
Highway5.dta,cstatmh,float64,51,372518.0; 213000.0; 488274.0
Highway5.dta,cstadmrd,float64,51,42839.0; 60888.0; 205236.0
Highway5.dta,cfedroad,float64,51,974.0; 4942.0; 19046.0
Highway5.dta,ctal,float64,51,416331.0; 278830.0; 712556.0
Highway5.dta,mstadmh,float64,51,134450.0; 121900.0; 68907.0
Highway5.dta,mladmrd,float64,51,299897.0; 34166.0; 84516.0
Highway5.dta,mredroad,float64,51,14.0; 831.0; 10641.0
Highway5.dta,mtal,float64,51,434361.0; 156897.0; 164064.0
Highway5.dta,adm_misc,float64,51,72558.0; 30088.0; 70527.0
Highway5.dta,law_safe,float64,51,57359.0; 40116.0; 78446.0
Highway5.dta,interest,float64,51,11128.0; 13411.0; 154305.0
Highway5.dta,bondret,float64,51,20436.0; 21623.0; 359239.0
Highway5.dta,tdisb,float64,51,1012173.0; 540965.0; 1539137.0
Highway5.dta,pgsal93,float64,51,25028.0; 37943.0; 24995.0
Highway5.dta,pgsal94,float64,51,26376.0; 38889.0; 25906.0
Highway5.dta,pbcon93,float32,51,25.489999771118164; 31.889999389648438; 22.420000076293945
Highway5.dta,pexcav93,float32,51,1.600000023841858; 1.8899999856948853; 5.210000038146973
Highway5.dta,prestl93,float32,51,0.4189999997615814; 0.46399998664855957; 0.3540000021457672
Highway5.dta,pststl93,float32,51,0.8619999885559082; 1.1610000133514404; 1.6200000047683716
Highway5.dta,pstcon93,float32,51,217.89999389648438; 855.030029296875; 206.72999572753906
Highway5.dta,pop90,float64,51,4089.0; 570.0; 3750.0
Highway5.dta,sqmiles,float64,51,52423.0; 591004.0; 114006.0
