package_id,package_title,package_kind,package_folder,relative_path,sheet_or_table,variable_name,variable_label,inferred_type,non_null_sample_count,sample_values,min_value,max_value,source_file_format,confidence,notes
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,state,,text,51,AL | AK | AZ | AR | CA,,,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,year,,numeric,51,1988.0 | 0.0,0,1988,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,highway,,numeric,51,8905.74 | 0.0 | 7955.02 | 4829.36 | 42835.42,0,42835.42,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,gsp,,numeric,51,53547.0 | 0.0 | 50630.0 | 29802.0 | 528674.0,0,528674,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,totpub,,numeric,51,20204.46 | 0.0 | 23693.97 | 10411.96 | 145321.6,0,145321.6,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,pvtcap,,numeric,51,66008.17 | 0.0 | 48932.84 | 34924.26 | 400653.1,0,400653.1,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,area,,numeric,51,52423.0 | 0.0 | 114006.0 | 53182.0 | 163707.0,0,268601,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,roway,,numeric,51,41714000.0 | 0.0 | 216000000.0 | 11366000.0 | 244000000.0,0,247000000,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,tcapo,,numeric,51,470000000.0 | 0.0 | 1070000000.0 | 307000000.0 | 2220000000.0,0,2980000000,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,tmant,,numeric,51,342000000.0 | 0.0 | 199000000.0 | 197000000.0 | 1560000000.0,0,1740000000,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,capui,,numeric,51,125348.0 | 35459.0 | 48078.0 | 6623.0 | 513828.0,0,659716,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,capul,,numeric,51,77005.0 | 71217.0 | 229257.0 | 132474.0 | 881208.0,0,1156753,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
paper-2002-06,Highway Costs And The Efficient Mix Of State And Local Funds,UPLOADED,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-2002-06-highway-costs-and-the-efficient-mix-of-state-and-local-funds,data/modernized/Highway5.csv,,caput,,numeric,51,202353.0 | 106676.0 | 277335.0 | 139097.0 | 1395036.0,0,1816469,csv,medium,"Headers inferred from first row. Delimiter `,`; sampled first 55 rows."
